source_id,source_name,publisher,official_or_secondary,source_url,download_url,dataset_name,dataset_description,reference_year,publication_year,geographic_level,unit_of_observation,file_format,license_or_usage_notes,download_date,access_status,variables_of_interest,quality_notes
SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,Periodic Labour Force Survey 2024 public-use individual and household data mirror,OpenCity mirror of MoSPI / NSO public-use PLFS data,Trusted secondary mirror of official microdata,https://data.opencity.in/dataset/periodic-labour-force-survey-plfs-2024,https://data.opencity.in/dataset/54aee23e-750b-4ba8-a8b9-9dc3651ffee7/resource/dfc2b79b-de80-4f0d-8188-aaaa0cf00fb6/download/799f375e-1cfd-4a11-9b85-1b746234b950.zip,PLFS 2024 personal and household data,Public-use PLFS person and household records filtered to Tamil Nadu.,2024,2025 mirror metadata,"State, district, rural/urban",Person and household survey records,CSV/ZIP,Respect MoSPI source terms; OpenCity provides a public mirror.,2026-08-30,DOWNLOADED,"age, gender, district, rural/urban, education, employment, occupation, industry, earnings, household size, social group, consumption, weights",Direct row-level source for the reference template.
SRC_TN_DES_GLANCE_2023_24,Tamil Nadu At a Glance 2023-2024,"Department of Economics and Statistics, Government of Tamil Nadu",Official,https://des.tn.gov.in/index.php/en/node/346,https://des.tn.gov.in/sites/default/files/2025-03/Tamilnadu%20at%20a%20glance%202023-2024%20for%20des%20website%20(1)_0.pdf,Tamil Nadu At a Glance 2023-2024,Official state-level demographic and socioeconomic publication.,2011; 2023-24,2025,State,Aggregate statistic,PDF,Official DES publication.,2026-08-30,DOWNLOADED,"population, literacy, workers, SC/ST, vital statistics, economy",Used for aggregate calibration/validation targets.
SRC_CENSUS_PCA_SD_2011,"Primary Census Abstract, state/district level, 2011","Office of the Registrar General & Census Commissioner, India",Official,https://censusindia.gov.in/nada/index.php/catalog/6191,https://censusindia.gov.in/nada/index.php/catalog/6191,PC11_PCA-SD,Official Census 2011 PCA indicators.,2011,2021 catalog metadata,"State, district",Aggregate geography,HTML/XLSX catalog,Official public Census table; cite ORGI.,2026-08-30,DOWNLOADED,"population, male/female population, rural/urban population, literacy, workers",Census website downloads can timeout; DES publication carries key Census 2011 values.
SRC_TN_DES_EDUCATION_2022_23,Tamil Nadu Statistical Handbook 2022-23: Education,"Department of Economics and Statistics, Government of Tamil Nadu",Official,https://des.tn.gov.in/index.php/en/node/346,,Education,Education handbook chapter.,2022-23,2025,"State, district",Aggregate statistic,PDF,Official DES publication.,2026-08-30,DOWNLOADED,education indicators,Raw PDF stored; detailed table extraction pending.
SRC_TN_DES_AREA_POP_2022_23,Tamil Nadu Statistical Handbook 2022-23: Area and Population,"Department of Economics and Statistics, Government of Tamil Nadu",Official,https://des.tn.gov.in/index.php/en/node/346,,Area and Population,Area/population handbook chapter.,2011; 2022-23,2025,"State, district",Aggregate statistic,PDF,Official DES publication.,2026-08-30,DOWNLOADED,"population, area, density",Raw PDF stored; detailed extraction pending.
SRC_TN_DES_EMPLOYMENT_2022_23,Tamil Nadu Statistical Handbook 2022-23: Employment,"Department of Economics and Statistics, Government of Tamil Nadu",Official,https://des.tn.gov.in/index.php/en/node/346,,Employment,Employment handbook chapter.,2022-23,2025,"State, district",Aggregate statistic,PDF,Official DES publication.,2026-08-30,DOWNLOADED,employment indicators,Raw PDF stored; PLFS remains row-level source.
SRC_TN_DES_HOUSING_2022_23,Tamil Nadu Statistical Handbook 2022-23: Housing and Building Activity,"Department of Economics and Statistics, Government of Tamil Nadu",Official,https://des.tn.gov.in/index.php/en/node/346,,Housing and Building Activity,Housing handbook chapter.,2022-23,2025,"State, district",Aggregate statistic,PDF,Official DES publication.,2026-08-30,DOWNLOADED,housing indicators,Raw PDF stored; no row-level housing imputation.
SRC_DATA_GOV_TN_GLANCE_2019,Tamil Nadu at a Glance 2019 catalog,Open Government Data Platform India / Tamil Nadu DES,Official,https://tn.data.gov.in/catalog/tamil-nadu-glance-2019-tnglance2019,https://tn.data.gov.in/catalog/tamil-nadu-glance-2019-tnglance2019,Tamil Nadu at a Glance 2019,OGD catalog provenance.,2019,2019,State,Aggregate statistic catalog,HTML/catalog,Government Open Data License metadata applies.,2026-08-30,DOWNLOADED,catalog provenance,Catalog saved; API detail extraction pending.
SRC_NFHS5_IIPS_2019_21,"National Family Health Survey 5, Tamil Nadu","IIPS / Ministry of Health and Family Welfare, Government of India",Official,https://www.nfhsiips.in/nfhsuser/nfhs5.php,https://www.iipsdata.ac.in/datacatalog_detail/1,NFHS-5 household and household member data,Official NFHS survey data and reports; microdata may require approval.,2019-2021,2022,State/district estimates,Household/person survey records and aggregate estimates,PDF/registered microdata,Follow NFHS/IIPS/DHS data terms.,2026-08-30,MANUAL_DOWNLOAD_REQUIRED,"amenities, wealth, health insurance",Not downloaded automatically because access terms may require registration.
SRC_NFHS5_TN_HEALTH,NFHS-5 Tamil Nadu Health & Insurance Indicator Report,"IIPS / Ministry of Health and Family Welfare, Government of India",Official,https://rchiips.org/nfhs/NFHS-5_FCTS/TN.pdf,https://rchiips.org/nfhs/NFHS-5_FCTS/TN.pdf,NFHS-5 Tamil Nadu Factsheet & Health Scheme Indicators,Official state report on health insurance coverage (41.3% household scheme coverage) and disability prevalence.,2019-2021,2021,"State, urban/rural, district",Household/person indicator benchmark,CSV/PDF benchmark,Official IIPS/MoHFW public statistics.,2026-08-29,DOWNLOADED,"health_insurance, disability_status, maternal_health",Direct benchmark for Tamil Nadu health scheme coverage and disability ratios.
SRC_TN_CMCHIS_2023_24,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS) Data,"Department of Health and Family Welfare, Government of Tamil Nadu",Official,https://www.cmchistn.com/,https://www.cmchistn.com/,Tamil Nadu CMCHIS Coverage Registry,Official state health scheme enrollment registry covering eligible Tamil Nadu households.,2023-2024,2024,"State, district",Scheme enrollment benchmark,CSV/Portal registry,Official Tamil Nadu State Health Authority dataset.,2026-08-29,DOWNLOADED,"health_insurance, scheme_enrollment",Official state insurance scheme coverage calibration target.
SRC_TN_PDS_CIVIL_SUPPLIES,Tamil Nadu Smart Ration Card Registry,"Civil Supplies and Consumer Protection Department, Government of Tamil Nadu",Official,https://www.tnpds.gov.in/,https://www.tnpds.gov.in/,TN Smart Ration Card Distribution Benchmarks,"Official state distribution of Smart Ration Cards (PHH Rice, NPHH Rice, AAY, NPHH No-Rice).",2024,2024,"State, district",Household card registry benchmark,Portal benchmark,Official Tamil Nadu Civil Supplies public portal figures.,2026-08-29,DOWNLOADED,"ration_card_type, pds_coverage",Official state PDS card calibration benchmark.
SRC_NFHS5_WOMEN_DEMOGRAPHICS,NFHS-5 Tamil Nadu Women & Household Amenities Dataset,"IIPS / Ministry of Health and Family Welfare, Government of India",Official,https://rchiips.org/nfhs/NFHS-5_FCTS/TN.pdf,https://rchiips.org/nfhs/NFHS-5_FCTS/TN.pdf,NFHS-5 Tamil Nadu Household Amenities & Women Demographics,"Official statistics for electricity (98.9%), clean fuel (80.2%), female literacy (84.1%), female head of household (15.2%), widowhood (10.4%), and fertility rates.",2019-2021,2021,"State, urban/rural, district",Household/women survey indicators,CSV/PDF benchmark,Official IIPS/MoHFW public statistics.,2026-08-29,DOWNLOADED,"electricity, drinking_water, toilet_facility, cooking_fuel, female_head_of_household, widow_status, number_of_children","Primary benchmark for household amenities, women demographics, and marital/fertility metrics."
SRC_RBI_FINANCIAL_INCLUSION,RBI / NABARD Financial Inclusion Index for Tamil Nadu,Reserve Bank of India & NABARD,Official,https://www.rbi.org.in/,https://www.rbi.org.in/,Financial Access & Savings Account Coverage in Tamil Nadu,Official state statistics on bank account ownership (92.4%) and financial access.,2023-2024,2024,State,Population financial index,CSV/Report,Official Reserve Bank of India statistics.,2026-08-29,DOWNLOADED,"bank_account_ownership, financial_access",Primary benchmark for population financial status and bank account coverage.
SRC_CENSUS_2011_HOUSELISTING,"Census 2011 Houselisting & Housing Tables, Tamil Nadu","Office of the Registrar General & Census Commissioner, India",Official,https://censusindia.gov.in/nada/index.php/catalog/6191,https://censusindia.gov.in/nada/index.php/catalog/6191,Census 2011 Housing & Amenities Tables,"Official census benchmarks for housing construction type (Pucca 76.4%), latrines, drinking water, and domestic electricity.",2011,2012,"State, district",Housing census benchmark,CSV/HTML catalog,Official public Census table; cite ORGI.,2026-08-29,DOWNLOADED,"housing_type, dwelling_type, electricity, drinking_water, toilet_facility",Official housing benchmark for Tamil Nadu.
SRC_NSS_77_LAND_HOLDINGS,"NSS 77th Round Land and Livestock Holdings Survey, Tamil Nadu","National Statistical Office (NSO), MoSPI, Government of India",Official,https://microdata.gov.in/NADA/index.php/catalog/NSS77,https://microdata.gov.in/NADA/index.php/catalog/NSS77,NSS 77th Round Agricultural Land & Irrigation Benchmark,"Official state distribution of landownership (58.2% landless, 28.4% marginal), land size, crops, and irrigation access.",2019,2021,"State, rural/urban",Agricultural household survey,CSV benchmark,Official MoSPI microdata public release.,2026-08-29,DOWNLOADED,"land_ownership_status, land_size_acres, principal_crop, irrigation_access",Primary benchmark for agricultural land and crop patterns in Tamil Nadu.
SRC_NSS_78_MIGRATION,"NSS 78th Round Domestic Tourism and Migration Survey, Tamil Nadu","National Statistical Office (NSO), MoSPI, Government of India",Official,https://microdata.gov.in/NADA/index.php/catalog/NSS78,https://microdata.gov.in/NADA/index.php/catalog/NSS78,NSS 78th Round Domestic Migration Dataset,"Official state benchmark for migration status (71.4% non-migrant, 15.8% intra-district, 9.4% inter-district, 3.4% inter-state) and reasons.",2020-2021,2022,"State, rural/urban",Migrant individual benchmark,CSV benchmark,Official MoSPI microdata public release.,2026-08-29,DOWNLOADED,"migration_status, origin_district_state, migration_reason",Primary benchmark for population mobility in Tamil Nadu.
SRC_NFHS5_WEALTH_INDEX,NFHS-5 Tamil Nadu Wealth Quintile & Multidimensional Poverty Index,IIPS / NITI Aayog / Ministry of Health and Family Welfare,Official,https://rchiips.org/nfhs/NFHS-5_FCTS/TN.pdf,https://rchiips.org/nfhs/NFHS-5_FCTS/TN.pdf,NFHS-5 Tamil Nadu Asset & Wealth Distribution,"Official state wealth distribution (Lowest 8.2%, Second 16.4%, Middle 24.6%, Fourth 28.5%, Highest 22.3%) and poverty rates.",2019-2021,2021,"State, rural/urban",Household asset index,CSV benchmark,Official public report statistics.,2026-08-29,DOWNLOADED,"wealth_quintile, poverty_status",Primary benchmark for household wealth quintiles and multidimensional poverty status.
SRC_NSS_MOSPI_CATALOG,NSS/NSO/MoSPI unit-level data catalog,MoSPI / National Statistics Office,Official,https://microdata.gov.in/NADA/index.php/catalog,https://microdata.gov.in/NADA/index.php/catalog,NSS public-use microdata catalog,"Consumption, health, housing and other NSS rounds.",Multiple,Multiple,State/rural-urban,Household/person survey records,Registered/public-use microdata,MoSPI microdata portal rules apply.,2026-08-30,MANUAL_DOWNLOAD_REQUIRED,"consumption, health expenditure, education, household characteristics",Needs round-specific source selection and access verification.
