policy_id,variable,importance,status,score,source,non_null_percentage,temporal_status,geographic_status,warnings
TN_YOUTH_EMPLOYMENT_ASSISTANCE,age,CRITICAL,EXACT_AVAILABLE,0.85,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,
TN_YOUTH_EMPLOYMENT_ASSISTANCE,employment_status,CRITICAL,EXACT_AVAILABLE,0.85,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,
TN_YOUTH_EMPLOYMENT_ASSISTANCE,household_income,CRITICAL,PROXY_AVAILABLE,0.2869,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,"Household consumption expenditure is present, but it is not annual household income.; UNIT_SEMANTIC_MISMATCH: consumption expenditure is not INR/year household income"
TN_YOUTH_EMPLOYMENT_ASSISTANCE,state,CRITICAL,EXACT_AVAILABLE,1.0,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,CURRENT,COMPATIBLE,
TN_YOUTH_EMPLOYMENT_ASSISTANCE,district,IMPORTANT,EXACT_AVAILABLE,0.68,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,98.6982,RECENT,GEOGRAPHIC_VERSION_WARNING: district codes include known boundary/code conflict,GEOGRAPHIC_VERSION_WARNING: district codes include known boundary/code conflict
TN_EDUCATION_SKILLING,age,CRITICAL,EXACT_AVAILABLE,0.85,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,
TN_EDUCATION_SKILLING,education_level,CRITICAL,EXACT_AVAILABLE,0.85,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,
TN_EDUCATION_SKILLING,district,CRITICAL,EXACT_AVAILABLE,0.68,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,98.6982,RECENT,GEOGRAPHIC_VERSION_WARNING: district codes include known boundary/code conflict,GEOGRAPHIC_VERSION_WARNING: district codes include known boundary/code conflict
TN_EDUCATION_SKILLING,state,CRITICAL,EXACT_AVAILABLE,1.0,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,CURRENT,COMPATIBLE,
TN_HEALTH_INSURANCE_TOPUP,health_insurance,CRITICAL,EXACT_AVAILABLE,0.85,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,
TN_HEALTH_INSURANCE_TOPUP,disability_status,CRITICAL,AGGREGATE_ONLY,0.1365,SRC_NFHS5_TN_HEALTH,100.0,AGING,COMPATIBLE,"disability_status is available only as aggregate data and cannot directly evaluate person-level eligibility.; AGGREGATE_ONLY_LEVEL: requires PERSON, available STATE"
TN_HEALTH_INSURANCE_TOPUP,household_income,CRITICAL,PROXY_AVAILABLE,0.2869,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,RECENT,COMPATIBLE,"Household consumption expenditure is present, but it is not annual household income.; UNIT_SEMANTIC_MISMATCH: consumption expenditure is not INR/year household income"
TN_HEALTH_INSURANCE_TOPUP,state,CRITICAL,EXACT_AVAILABLE,1.0,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,100.0,CURRENT,COMPATIBLE,
TN_HEALTH_INSURANCE_TOPUP,district,IMPORTANT,EXACT_AVAILABLE,0.68,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,98.6982,RECENT,GEOGRAPHIC_VERSION_WARNING: district codes include known boundary/code conflict,GEOGRAPHIC_VERSION_WARNING: district codes include known boundary/code conflict
